# Agent 2 Knowledge Log
# Format: time;event_type;knowledge
878;changeHouse;{2: {'pet': 'Zebra', 'house': 5, 'location': 5, 't': 878}, 4: {'pet': 'Dog', 'house': 6, 'location': 1, 't': 828}, 6: {'pet': 'Bear', 'house': 5, 'location': 4, 't': 766}, 5: {'pet': 'Cat', 'house': 4, 'location': 5, 't': 878}, 3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 866}, 1: {'pet': 'Cat', 'house': 4, 'location': 1, 't': 618}}
882;FinishTrip;{2: {'pet': 'Zebra', 'house': 5, 'location': 5, 't': 878}, 4: {'pet': 'Dog', 'house': 6, 'location': 1, 't': 828}, 6: {'pet': 'Bear', 'house': 5, 'location': 4, 't': 766}, 5: {'pet': 'Cat', 'house': 4, 'location': 4, 't': 882}, 3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 866}, 1: {'pet': 'Cat', 'house': 4, 'location': 1, 't': 618}}
882;ChangePet;{2: {'pet': 'Cat', 'house': 5, 'location': 4, 't': 882}, 4: {'pet': 'Dog', 'house': 6, 'location': 1, 't': 828}, 6: {'pet': 'Bear', 'house': 5, 'location': 4, 't': 766}, 5: {'pet': 'Zebra', 'house': 4, 'location': 4, 't': 882}, 3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 866}, 1: {'pet': 'Cat', 'house': 4, 'location': 1, 't': 618}}
888;FinishTrip;{2: {'pet': 'Cat', 'house': 5, 'location': 4, 't': 882}, 4: {'pet': 'Dog', 'house': 6, 'location': 1, 't': 828}, 6: {'pet': 'Bear', 'house': 5, 'location': 4, 't': 766}, 5: {'pet': 'Zebra', 'house': 4, 'location': 5, 't': 888}, 3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 866}, 1: {'pet': 'Cat', 'house': 4, 'location': 1, 't': 618}}
892;FinishTrip;{2: {'pet': 'Cat', 'house': 5, 'location': 4, 't': 882}, 4: {'pet': 'Dog', 'house': 6, 'location': 1, 't': 828}, 6: {'pet': 'Bear', 'house': 5, 'location': 4, 't': 766}, 5: {'pet': 'Zebra', 'house': 4, 'location': 4, 't': 892}, 3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 866}, 1: {'pet': 'Cat', 'house': 4, 'location': 1, 't': 618}}
892;changeHouse;{2: {'pet': 'Cat', 'house': 4, 'location': 4, 't': 892}, 4: {'pet': 'Dog', 'house': 6, 'location': 1, 't': 828}, 6: {'pet': 'Bear', 'house': 5, 'location': 4, 't': 766}, 5: {'pet': 'Zebra', 'house': 5, 'location': 4, 't': 892}, 3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 866}, 1: {'pet': 'Cat', 'house': 4, 'location': 1, 't': 618}}
898;FinishTrip;{2: {'pet': 'Cat', 'house': 4, 'location': 4, 't': 892}, 4: {'pet': 'Humpster', 'house': 1, 'location': 1, 't': 898}, 6: {'pet': 'Bear', 'house': 5, 'location': 4, 't': 766}, 5: {'pet': 'Zebra', 'house': 5, 'location': 4, 't': 892}, 3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 866}, 1: {'pet': 'Cat', 'house': 4, 'location': 1, 't': 618}}
898;FinishTrip;{2: {'pet': 'Cat', 'house': 4, 'location': 4, 't': 892}, 4: {'pet': 'Humpster', 'house': 1, 'location': 1, 't': 898}, 6: {'pet': 'Bear', 'house': 5, 'location': 4, 't': 766}, 5: {'pet': 'Zebra', 'house': 5, 'location': 4, 't': 892}, 3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 866}, 1: {'pet': 'Dog', 'house': 6, 'location': 1, 't': 898}}
898;changeHouse;{2: {'pet': 'Cat', 'house': 1, 'location': 1, 't': 898}, 4: {'pet': 'Humpster', 'house': 4, 'location': 1, 't': 898}, 6: {'pet': 'Bear', 'house': 5, 'location': 4, 't': 766}, 5: {'pet': 'Zebra', 'house': 5, 'location': 4, 't': 892}, 3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 866}, 1: {'pet': 'Dog', 'house': 6, 'location': 1, 't': 898}}
1002;FinishTrip;{2: {'pet': 'Cat', 'house': 1, 'location': 1, 't': 898}, 4: {'pet': 'Bear', 'house': 4, 'location': 1, 't': 1002}, 6: {'pet': 'Bear', 'house': 5, 'location': 4, 't': 766}, 5: {'pet': 'Zebra', 'house': 5, 'location': 4, 't': 892}, 3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 866}, 1: {'pet': 'Dog', 'house': 6, 'location': 1, 't': 898}}
1004;FinishTrip;{2: {'pet': 'Cat', 'house': 1, 'location': 1, 't': 898}, 4: {'pet': 'Bear', 'house': 4, 'location': 4, 't': 1004}, 6: {'pet': 'Bear', 'house': 5, 'location': 4, 't': 766}, 5: {'pet': 'Zebra', 'house': 5, 'location': 4, 't': 892}, 3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 866}, 1: {'pet': 'Dog', 'house': 6, 'location': 1, 't': 898}}
1004;changeHouse;{2: {'pet': 'Cat', 'house': 4, 'location': 4, 't': 1004}, 4: {'pet': 'Bear', 'house': 1, 'location': 4, 't': 1004}, 6: {'pet': 'Bear', 'house': 5, 'location': 4, 't': 766}, 5: {'pet': 'Zebra', 'house': 5, 'location': 4, 't': 892}, 3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 866}, 1: {'pet': 'Dog', 'house': 6, 'location': 1, 't': 898}}
